x,y,height,momentum_x,bathymetry
2202.5,2202.5,0,0,0
6607.5,2202.5,20,0,-20
11012.5,2202.5,23.969769,0,-23.969769
15417.5,2202.5,45.619434,0,-45.619434
19822.5,2202.5,73.22857,0,-73.22857
24227.5,2202.5,104.20978,0,-104.20978
28632.5,2202.5,124.16461,0,-124.16461
33037.5,2202.5,131.71107,0,-131.71107
37442.5,2202.5,141.12314,0,-141.12314
41847.5,2202.5,145.93387,0,-145.93387
46252.5,2202.5,161.87885,0,-161.87885
50657.5,2202.5,187.65663,0,-187.65663
55062.5,2202.5,215.42738,0,-215.42738
59467.5,2202.5,253.1698,0,-253.1698
63872.5,2202.5,299.87262,0,-299.87262
68277.5,2202.5,350.9949,0,-350.9949
72682.5,2202.5,420.46564,0,-420.46564
77087.5,2202.5,483.02777,0,-483.02777
81492.5,2202.5,537.9643,0,-537.9643
85897.5,2202.5,602.70795,0,-602.70795
90302.5,2202.5,695.6091,0,-695.6091
94707.5,2202.5,744.39355,0,-744.39355
99112.5,2202.5,837.5585,0,-837.5585
103517.5,2202.5,920.47064,0,-920.47064
107922.5,2202.5,974.73193,0,-974.73193
112327.5,2202.5,1008.4943,0,-1008.4943
116732.5,2202.5,1006.3572,0,-1006.3572
121137.5,2202.5,1002.80707,0,-1002.80707
125542.5,2202.5,920.20856,0,-920.20856
129947.5,2202.5,882.99664,0,-882.99664
134352.5,2202.5,1089.7084,0,-1089.7084
138757.5,2202.5,1215.8744,0,-1215.8744
143162.5,2202.5,1325.0118,0,-1325.0118
147567.5,2202.5,1547.4324,0,-1547.4324
151972.5,2202.5,1933.143,0,-1933.143
156377.5,2202.5,2308.9614,0,-2308.9614
160782.5,2202.5,2663.3494,0,-2663.3494
165187.5,2202.5,3084.0884,0,-3084.0884
169592.5,2202.5,3570.2234,0,-3570.2234
173997.5,2202.5,3889.1611,0,-3889.1611
178402.5,2202.5,4232.999,0,-4232.999
182807.5,2202.5,4389.1533,0,-4390.1567
187212.5,2202.5,4413.3945,0,-4417.9194
191617.5,2202.5,4424.797,0,-4432.234
196022.5,2202.5,4592.462,0,-4601.8096
200427.5,2202.5,4713.5156,0,-4723.5156
204832.5,2202.5,5053.5596,0,-5062.865
209237.5,2202.5,5359.846,0,-5367.204
213642.5,2202.5,6089.8296,0,-6094.2495
218047.5,2202.5,6476.6533,0,-6477.54
222452.5,2202.5,6676.713,0,-6673.9473
226857.5,2202.5,7051.3403,0,-7045.2944
231262.5,2202.5,7204.9106,0,-7196.3984
235667.5,2202.5,7314.6206,0,-7304.7886
240072.5,2202.5,7442.056,0,-7432.228
244477.5,2202.5,7795.103,0,-7786.602
248882.5,2202.5,7492.479,0,-7486.4497
253287.5,2202.5,7202.138,0,-7199.3926
257692.5,2202.5,6940.495,0,-6940.495
262097.5,2202.5,6768.355,0,-6768.355
266502.5,2202.5,6783.332,0,-6783.332
270907.5,2202.5,6552.2744,0,-6552.2744
275312.5,2202.5,6451.1255,0,-6451.1255
279717.5,2202.5,6275.3354,0,-6275.3354
284122.5,2202.5,6285.259,0,-6285.259
288527.5,2202.5,6202.306,0,-6202.306
292932.5,2202.5,6092.567,0,-6092.567
297337.5,2202.5,6059.2803,0,-6059.2803
301742.5,2202.5,6048.412,0,-6048.412
306147.5,2202.5,6018.741,0,-6018.741
310552.5,2202.5,5923.756,0,-5923.756
314957.5,2202.5,5817.231,0,-5817.231
319362.5,2202.5,5759.59,0,-5759.59
323767.5,2202.5,5685.364,0,-5685.364
328172.5,2202.5,5658.265,0,-5658.265
332577.5,2202.5,5630.611,0,-5630.611
336982.5,2202.5,5593.013,0,-5593.013
341387.5,2202.5,5674.8433,0,-5674.8433
345792.5,2202.5,5729.2505,0,-5729.2505
350197.5,2202.5,5753.3477,0,-5753.3477
354602.5,2202.5,5775.6113,0,-5775.6113
359007.5,2202.5,5806.85,0,-5806.85
363412.5,2202.5,5821.8057,0,-5821.8057
367817.5,2202.5,5773.2134,0,-5773.2134
372222.5,2202.5,5761.155,0,-5761.155
376627.5,2202.5,5745.94,0,-5745.94
381032.5,2202.5,5683.08,0,-5683.08
385437.5,2202.5,5635.866,0,-5635.866
389842.5,2202.5,5590.1484,0,-5590.1484
394247.5,2202.5,5562.0654,0,-5562.0654
398652.5,2202.5,5581.6714,0,-5581.6714
403057.5,2202.5,5571.904,0,-5571.904
407462.5,2202.5,5578.0107,0,-5578.0107
411867.5,2202.5,5591.0254,0,-5591.0254
416272.5,2202.5,5579.698,0,-5579.698
420677.5,2202.5,5582.729,0,-5582.729
425082.5,2202.5,5578.765,0,-5578.765
429487.5,2202.5,5586.7773,0,-5586.7773
433892.5,2202.5,5526.108,0,-5526.108
438297.5,2202.5,5532.447,0,-5532.447
