x,y,height,momentum_x,momentum_y,bathymetry
0.5,0.5,5.5494456,-4.2327833,0,0
1.5,0.5,5.8737063,-7.021229,0,0
2.5,0.5,6.1740017,-9.788355,0,0
3.5,0.5,6.3859725,-11.841958,0,0
4.5,0.5,6.501969,-13.00282,0,0
5.5,0.5,6.543866,-13.433223,0,0
6.5,0.5,6.5354333,-13.35645,0,0
7.5,0.5,6.4936233,-12.944093,0,0
8.5,0.5,6.429145,-12.309056,0,0
9.5,0.5,6.3487678,-11.524662,0,0
10.5,0.5,6.2570925,-10.641428,0,0
11.5,0.5,6.1575956,-9.697356,0,0
12.5,0.5,6.053184,-8.723403,0,0
13.5,0.5,5.9464602,-7.7460465,0,0
14.5,0.5,5.8398237,-6.788277,0,0
15.5,0.5,5.735477,-5.8697667,0,0
16.5,0.5,5.635391,-5.0066833,0,0
17.5,0.5,5.541246,-4.2114286,0,0
18.5,0.5,5.4543767,-3.4924839,0,0
19.5,0.5,5.375738,-2.8544765,0,0
20.5,0.5,5.3058887,-2.298477,0,0
21.5,0.5,5.245009,-1.822495,0,0
22.5,0.5,5.1929445,-1.4221243,0,0
23.5,0.5,5.1492605,-1.0912164,0,0
24.5,0.5,5.1133146,-0.8225433,0,0
25.5,0.5,5.0843225,-0.6083596,0,0
26.5,0.5,5.0614214,-0.44085523,0,0
27.5,0.5,5.0437264,-0.3125084,0,0
28.5,0.5,5.0303717,-0.2163016,0,0
29.5,0.5,5.0205426,-0.14588912,0,0
30.5,0.5,5.013502,-0.09567682,0,0
31.5,0.5,5.0086055,-0.060872026,0,0
32.5,0.5,5.0053043,-0.037480064,0,0
33.5,0.5,5.003155,-0.022272937,0,0
34.5,0.5,5.0018053,-0.0127390195,0,0
35.5,0.5,5.000991,-0.0069898786,0,0
36.5,0.5,5.00052,-0.003667668,0,0
37.5,0.5,5.0002604,-0.0018315461,0,0
38.5,0.5,5.0001235,-0.00086648087,0,0
39.5,0.5,5.0000553,-0.00038500509,0,0
40.5,0.5,5.0000224,-0.00016214147,0,0
41.5,0.5,5.0000086,-6.24954E-05,0,0
42.5,0.5,5.0000024,-1.9596964E-05,0,0
43.5,0.5,5.0000005,-4.703738E-06,0,0
44.5,0.5,5,-2.8499876E-06,0,0
45.5,0.5,5,-3.1014797E-06,0,0
46.5,0.5,5,-2.3418968E-06,0,0
47.5,0.5,5,-1.5580181E-06,0,0
48.5,0.5,5,-9.750776E-07,0,0
49.5,0.5,5,-5.8487126E-07,0,0
50.5,0.5,5,-3.3928566E-07,0,0
51.5,0.5,5,-1.9104453E-07,0,0
52.5,0.5,5,-1.0451341E-07,0,0
53.5,0.5,5,-5.5620056E-08,0,0
54.5,0.5,5,-2.8867213E-08,0,0
55.5,0.5,5,-1.4658663E-08,0,0
56.5,0.5,5,-7.3057453E-09,0,0
57.5,0.5,5,-3.5824916E-09,0,0
58.5,0.5,5,-1.7308853E-09,0,0
59.5,0.5,5,-8.1825785E-10,0,0
60.5,0.5,5,-1.893229E-10,0,0
61.5,0.5,5,6.393705E-09,0,0
62.5,0.5,5,2.141564E-07,0,0
63.5,0.5,4.9999995,3.2417963E-06,0,0
64.5,0.5,4.9999976,1.7326587E-05,0,0
65.5,0.5,4.999991,6.307455E-05,0,0
66.5,0.5,4.999972,0.00019661865,0,0
67.5,0.5,4.999921,0.0005572991,0,0
68.5,0.5,4.999791,0.0014659056,0,0
69.5,0.5,4.999484,0.0036177037,0,0
70.5,0.5,4.9988027,0.008387614,0,0
71.5,0.5,4.9973907,0.018260535,0,0
72.5,0.5,4.9946585,0.0373686,0,0
73.5,0.5,4.9897094,0.07192677,0,0
74.5,0.5,4.9813223,0.13035886,0,0
75.5,0.5,4.968004,0.22281364,0,0
76.5,0.5,4.9481444,0.35992783,0,0
77.5,0.5,4.9202533,0.55100316,0,0
78.5,0.5,4.8832235,0.8020155,0,0
79.5,0.5,4.8365626,1.1140151,0,0
80.5,0.5,4.780547,1.4822763,0,0
81.5,0.5,4.716309,1.8961681,0,0
82.5,0.5,4.64592,2.3393757,0,0
83.5,0.5,4.5725503,2.7898896,0,0
84.5,0.5,4.500793,3.2191896,0,0
85.5,0.5,4.4371514,3.5905354,0,0
86.5,0.5,4.390402,3.857359,0,0
87.5,0.5,4.371017,3.9651353,0,0
88.5,0.5,4.3883862,3.862649,0,0
89.5,0.5,4.4457703,3.5257382,0,0
90.5,0.5,4.536254,2.9821389,0,0
91.5,0.5,4.6441784,2.3138306,0,0
92.5,0.5,4.7512946,1.63046,0,0
93.5,0.5,4.8424387,1.0346777,0,0
94.5,0.5,4.9084134,0.59641427,0,0
95.5,0.5,4.9470525,0.33812925,0,0
96.5,0.5,4.9628234,0.2335074,0,0
97.5,0.5,4.965184,0.2188518,0,0
98.5,0.5,4.9679713,0.19598114,0,0
99.5,0.5,-1.4759008,40.046467,0,0
0.5,1.5,5.872758,-7.001989,0,0
1.5,1.5,6.2458963,-10.437266,0,0
2.5,1.5,6.521151,-13.141862,0,0
3.5,1.5,6.6767097,-14.73469,0,0
4.5,1.5,6.74096,-15.411108,0,0
5.5,1.5,6.746842,-15.482657,0,0
6.5,1.5,6.716562,-15.17719,0,0
7.5,1.5,6.662788,-14.630154,0,0
8.5,1.5,6.5925364,-13.919023,0,0
9.5,1.5,6.509929,-13.090779,0,0
10.5,1.5,6.417716,-12.177608,0,0
11.5,1.5,6.3180513,-11.204879,0,0
12.5,1.5,6.2128725,-10.194946,0,0
13.5,1.5,6.1040773,-9.168809,0,0
14.5,1.5,5.993583,-8.146543,0,0
15.5,1.5,5.8833327,-7.147168,0,0
16.5,1.5,5.775246,-6.1881394,0,0
17.5,1.5,5.671156,-5.2847085,0,0
18.5,1.5,5.572729,-4.449297,0,0
19.5,1.5,5.4813795,-3.691027,0,0
20.5,1.5,5.398206,-3.015488,0,0
21.5,1.5,5.3239446,-2.4247713,0,0
22.5,1.5,5.2589507,-1.9177783,0,0
23.5,1.5,5.203215,-1.4907286,0,0
24.5,1.5,5.1564045,-1.1377877,0,0
25.5,1.5,5.117924,-0.85171103,0,0
26.5,1.5,5.0869856,-0.6244646,0,0
27.5,1.5,5.062681,-0.4477467,0,0
28.5,1.5,5.0440516,-0.31339845,0,0
29.5,1.5,5.0301375,-0.21372199,0,0
30.5,1.5,5.02003,-0.14169413,0,0
31.5,1.5,5.012905,-0.091116354,0,0
32.5,1.5,5.0080395,-0.05668872,0,0
33.5,1.5,5.004831,-0.0340313,0,0
34.5,1.5,5.0027924,-0.019655125,0,0
35.5,1.5,5.001547,-0.010886052,0,0
36.5,1.5,5.000819,-0.00576323,0,0
37.5,1.5,5.000413,-0.002902543,0,0
38.5,1.5,5.0001974,-0.0013846892,0,0
39.5,1.5,5.0000887,-0.0006219867,0,0
40.5,1.5,5.0000367,-0.0002628017,0,0
41.5,1.5,5.0000143,-9.990042E-05,0,0
42.5,1.5,5.0000043,-3.339791E-05,0,0
43.5,1.5,5.000001,-9.305593E-06,0,0
44.5,1.5,5,-4.4305566E-06,0,0
45.5,1.5,5,-3.810575E-06,0,0
46.5,1.5,5,-2.6255852E-06,0,0
47.5,1.5,5,-1.7445748E-06,0,0
48.5,1.5,5,-1.1232072E-06,0,0
49.5,1.5,5,-6.9472003E-07,0,0
50.5,1.5,5,-4.1510557E-07,0,0
51.5,1.5,5,-2.4055618E-07,0,0
52.5,1.5,5,-1.3528799E-07,0,0
53.5,1.5,5,-7.3911934E-08,0,0
54.5,1.5,5,-3.932512E-08,0,0
55.5,1.5,5,-2.0445839E-08,0,0
56.5,1.5,5,-1.0422837E-08,0,0
57.5,1.5,5,-5.2235096E-09,0,0
58.5,1.5,5,-2.57741E-09,0,0
59.5,1.5,5,-1.2440338E-09,0,0
60.5,1.5,5,-3.2467018E-10,0,0
61.5,1.5,5,7.808656E-09,0,0
62.5,1.5,5,2.3411275E-07,0,0
63.5,1.5,4.9999995,3.660568E-06,0,0
64.5,1.5,4.999997,1.8772314E-05,0,0
65.5,1.5,4.9999905,6.840015E-05,0,0
66.5,1.5,4.9999695,0.00021173694,0,0
67.5,1.5,4.9999146,0.0005975156,0,0
68.5,1.5,4.9997764,0.0015647811,0,0
69.5,1.5,4.999451,0.0038447522,0,0
70.5,1.5,4.9987335,0.008871758,0,0
71.5,1.5,4.9972525,0.019230023,0,0
72.5,1.5,4.994397,0.039193127,0,0
73.5,1.5,4.989245,0.07516654,0,0
74.5,1.5,4.9805365,0.13582358,0,0
75.5,1.5,4.966731,0.23163286,0,0
76.5,1.5,4.9461503,0.37365353,0,0
77.5,1.5,4.9172115,0.57174826,0,0
78.5,1.5,4.878684,0.83260876,0,0
79.5,1.5,4.8299165,1.1581316,0,0
80.5,1.5,4.7709975,1.5444831,0,0
81.5,1.5,4.702856,1.9819006,0,0
82.5,1.5,4.6273313,2.454935,0,0
83.5,1.5,4.547302,2.942665,0,0
84.5,1.5,4.466952,3.4183595,0,0
85.5,1.5,4.3921957,3.8483057,0,0
86.5,1.5,4.331142,4.1901636,0,0
87.5,1.5,4.2940307,4.3928204,0,0
88.5,1.5,4.291599,4.4020576,0,0
89.5,1.5,4.3311315,4.17659,0,0
90.5,1.5,4.4117365,3.7112317,0,0
91.5,1.5,4.522754,3.0516605,0,0
92.5,1.5,4.6469526,2.288286,0,0
93.5,1.5,4.765624,1.534545,0,0
94.5,1.5,4.8629947,0.8988683,0,0
95.5,1.5,4.929842,0.4538435,0,0
96.5,1.5,4.9654,0.21462637,0,0
97.5,1.5,4.9754734,0.14689045,0,0
98.5,1.5,4.9664545,0.20607275,0,0
99.5,1.5,4.895506,0.084682986,0,0
0.5,2.5,6.172812,-9.763345,0,0
1.5,2.5,6.5209537,-13.135117,0,0
2.5,2.5,6.7338204,-15.310374,0,0
3.5,2.5,6.8339596,-16.36475,0,0
4.5,2.5,6.86271,-16.674738,0,0
5.5,2.5,6.849625,-16.541996,0,0
6.5,2.5,6.811095,-16.141468,0,0
7.5,2.5,6.7555056,-15.565209,0,0
8.5,2.5,6.6871963,-14.862391,0,0
9.5,2.5,6.6086287,-14.062106,0,0
10.5,2.5,6.5214505,-13.184662,0,0
11.5,2.5,6.4270043,-12.246934,0,0
12.5,2.5,6.326575,-11.264861,0,0
13.5,2.5,6.2215104,-10.254496,0,0
14.5,2.5,6.113269,-9.232317,0,0
15.5,2.5,6.0034323,-8.215114,0,0
16.5,2.5,5.893683,-7.219556,0,0
17.5,2.5,5.7857604,-6.2616043,0,0
18.5,2.5,5.6813955,-5.3557787,0,0
19.5,2.5,5.582227,-4.514468,0,0
20.5,2.5,5.4897194,-3.7473156,0,0
21.5,2.5,5.4050727,-3.0608203,0,0
22.5,2.5,5.3291636,-2.4581785,0,0
23.5,2.5,5.2624984,-1.939401,0,0
24.5,2.5,5.205208,-1.5016577,0,0
25.5,2.5,5.1570706,-1.1398005,0,0
26.5,2.5,5.1175566,-0.84697485,0,0
27.5,2.5,5.0859036,-0.6152286,0,0
28.5,2.5,5.0611897,-0.4360929,0,0
29.5,2.5,5.0424085,-0.30106455,0,0
30.5,2.5,5.02854,-0.20199803,0,0
31.5,2.5,5.01861,-0.1314076,0,0
32.5,2.5,5.011729,-0.08267499,0,0
33.5,2.5,5.007126,-0.050169513,0,0
34.5,2.5,5.004162,-0.029273897,0,0
35.5,2.5,5.0023284,-0.016371138,0,0
36.5,2.5,5.0012436,-0.008744089,0,0
37.5,2.5,5.0006313,-0.0044389428,0,0
38.5,2.5,5.0003037,-0.0021315827,0,0
39.5,2.5,5.000137,-0.0009622422,0,0
40.5,2.5,5.0000577,-0.0004044475,0,0
41.5,2.5,5.000022,-0.00015429746,0,0
42.5,2.5,5.000007,-5.26637E-05,0,0
43.5,2.5,5.000002,-1.5990914E-05,0,0
44.5,2.5,5,-6.2328645E-06,0,0
45.5,2.5,5,-4.34422E-06,0,0
46.5,2.5,5,-2.8487832E-06,0,0
47.5,2.5,5,-1.9928545E-06,0,0
48.5,2.5,5,-1.3599571E-06,0,0
49.5,2.5,5,-8.8592157E-07,0,0
50.5,2.5,5,-5.5531166E-07,0,0
51.5,2.5,5,-3.3646927E-07,0,0
52.5,2.5,5,-1.9701734E-07,0,0
53.5,2.5,5,-1.11599014E-07,0,0
