x,y,height,momentum_x,momentum_y,bathymetry
0.5,0.5,4.0436745,5.4963984,0,0
1.5,0.5,4.0356283,5.5360527,0,0
2.5,0.5,4.027955,5.573725,0,0
3.5,0.5,4.020667,5.609379,0,0
4.5,0.5,4.0137744,5.642983,0,0
5.5,0.5,4.007286,5.6745114,0,0
6.5,0.5,4.0012097,5.7039485,0,0
7.5,0.5,3.99555,5.731291,0,0
8.5,0.5,3.990307,5.756548,0,0
9.5,0.5,3.9854805,5.77974,0,0
10.5,0.5,3.981066,5.800898,0,0
11.5,0.5,3.977055,5.8200746,0,0
12.5,0.5,3.9734378,5.8373346,0,0
13.5,0.5,3.970199,5.8527584,0,0
14.5,0.5,3.9673212,5.866437,0,0
15.5,0.5,3.9647849,5.87847,0,0
16.5,0.5,3.9625676,5.8889694,0,0
17.5,0.5,3.9606464,5.8980517,0,0
18.5,0.5,3.9589965,5.9058366,0,0
19.5,0.5,3.9575932,5.9124455,0,0
20.5,0.5,3.9564104,5.918005,0,0
21.5,0.5,3.955424,5.9226294,0,0
22.5,0.5,3.9546099,5.926434,0,0
23.5,0.5,3.9539452,5.929529,0,0
24.5,0.5,3.9534097,5.932015,0,0
25.5,0.5,3.9529827,5.933983,0,0
26.5,0.5,3.9526472,5.9355183,0,0
27.5,0.5,3.9523878,5.9366956,0,0
28.5,0.5,3.9521902,5.9375806,0,0
29.5,0.5,3.9520428,5.938227,0,0
30.5,0.5,3.951935,5.938684,0,0
31.5,0.5,3.9518592,5.9389925,0,0
32.5,0.5,3.9518075,5.9391866,0,0
33.5,0.5,3.9517741,5.9392924,0,0
34.5,0.5,3.951754,5.939331,0,0
35.5,0.5,3.9517446,5.9393225,0,0
36.5,0.5,3.9517422,5.939277,0,0
37.5,0.5,3.951745,5.939207,0,0
38.5,0.5,3.9517512,5.939121,0,0
39.5,0.5,3.9517593,5.939021,0,0
40.5,0.5,3.9517696,5.938914,0,0
41.5,0.5,3.9517808,5.938802,0,0
42.5,0.5,3.951792,5.9386864,0,0
43.5,0.5,3.951803,5.938568,0,0
44.5,0.5,3.9518137,5.9384465,0,0
45.5,0.5,3.9518242,5.938325,0,0
46.5,0.5,3.9518344,5.938204,0,0
47.5,0.5,3.951844,5.9380803,0,0
48.5,0.5,3.9518535,5.937957,0,0
49.5,0.5,3.9518623,5.937832,0,0
50.5,0.5,3.95187,5.9377055,0,0
51.5,0.5,3.9518774,5.937581,0,0
52.5,0.5,3.9518838,5.9374547,0,0
53.5,0.5,3.9518893,5.9373283,0,0
54.5,0.5,3.9518936,5.937205,0,0
55.5,0.5,3.9518971,5.93708,0,0
56.5,0.5,3.9518995,5.936958,0,0
57.5,0.5,3.9519005,5.936836,0,0
58.5,0.5,3.951901,5.9367146,0,0
59.5,0.5,3.9519002,5.9365973,0,0
60.5,0.5,3.9518986,5.9364834,0,0
61.5,0.5,3.951896,5.936374,0,0
62.5,0.5,3.9518924,5.936269,0,0
63.5,0.5,3.951888,5.936167,0,0
64.5,0.5,3.9518828,5.936069,0,0
65.5,0.5,3.9518769,5.935974,0,0
66.5,0.5,3.9518707,5.9358826,0,0
67.5,0.5,3.9518633,5.935793,0,0
68.5,0.5,3.951856,5.9357033,0,0
69.5,0.5,3.951848,5.935612,0,0
70.5,0.5,3.9518404,5.9355216,0,0
71.5,0.5,3.9518328,5.935428,0,0
72.5,0.5,3.9518266,5.9353313,0,0
73.5,0.5,3.9518223,5.9352217,0,0
74.5,0.5,3.9518242,5.935089,0,0
75.5,0.5,3.951836,5.934907,0,0
76.5,0.5,3.9518702,5.934621,0,0
77.5,0.5,3.9519477,5.934132,0,0
78.5,0.5,3.9521098,5.9332447,0,0
79.5,0.5,3.9524355,5.9315805,0,0
80.5,0.5,3.9530723,5.9284377,0,0
81.5,0.5,3.9542937,5.92251,0,0
82.5,0.5,3.9565942,5.9114275,0,0
83.5,0.5,3.9608462,5.8909783,0,0
84.5,0.5,3.9685392,5.8538785,0,0
85.5,0.5,3.9821136,5.7879186,0,0
86.5,0.5,4.0053463,5.6734724,0,0
87.5,0.5,4.0436325,5.4807005,0,0
88.5,0.5,4.1038156,5.1678033,0,0
89.5,0.5,4.19303,4.6836596,0,0
90.5,0.5,4.3160257,3.9809687,0,0
91.5,0.5,4.470828,3.0476198,0,0
92.5,0.5,4.643028,1.9580556,0,0
93.5,0.5,4.8010364,0.9195825,0,0
94.5,0.5,4.904037,0.22353256,0,0
95.5,0.5,4.9381356,-0.008556969,0,0
96.5,0.5,4.938384,-0.0062081115,0,0
97.5,0.5,4.9387608,-0.0047395895,0,0
98.5,0.5,4.9391117,-0.0030724464,0,0
99.5,0.5,-1.483569,40.645107,0,0
0.5,1.5,4.0346584,5.5408244,0,0
1.5,1.5,4.0262504,5.582082,0,0
2.5,1.5,4.0182133,5.621366,0,0
3.5,1.5,4.0105577,5.658637,0,0
4.5,1.5,4.003297,5.6938624,0,0
5.5,1.5,3.99644,5.727012,0,0
6.5,1.5,3.9899962,5.758062,0,0
7.5,1.5,3.9839716,5.787005,0,0
8.5,1.5,3.9783692,5.8138385,0,0
9.5,1.5,3.97319,5.8385763,0,0
10.5,1.5,3.9684327,5.8612423,0,0
11.5,1.5,3.9640894,5.881879,0,0
12.5,1.5,3.960153,5.900542,0,0
13.5,1.5,3.9566102,5.917302,0,0
14.5,1.5,3.9534457,5.9322433,0,0
15.5,1.5,3.9506412,5.945459,0,0
16.5,1.5,3.9481754,5.957057,0,0
17.5,1.5,3.946026,5.967148,0,0
18.5,1.5,3.9441688,5.975851,0,0
19.5,1.5,3.9425788,5.983289,0,0
20.5,1.5,3.94123,5.989585,0,0
21.5,1.5,3.9400976,5.9948597,0,0
22.5,1.5,3.9391563,5.999232,0,0
