x,y,height,momentum_x,momentum_y,bathymetry
0.5,0.5,4.6493716,2.0925932,0,0
1.5,0.5,4.6390266,2.1576698,0,0
2.5,0.5,4.628681,2.2225127,0,0
3.5,0.5,4.618356,2.2869983,0,0
4.5,0.5,4.6080785,2.350956,0,0
5.5,0.5,4.5978813,2.4141774,0,0
6.5,0.5,4.5878053,2.4764202,0,0
7.5,0.5,4.5778947,2.5374143,0,0
8.5,0.5,4.568199,2.5968742,0,0
9.5,0.5,4.5587687,2.6545062,0,0
10.5,0.5,4.549655,2.710016,0,0
11.5,0.5,4.540907,2.763125,0,0
12.5,0.5,4.53257,2.8135662,0,0
13.5,0.5,4.5246863,2.8611164,0,0
14.5,0.5,4.517292,2.9055886,0,0
15.5,0.5,4.5104136,2.9468367,0,0
16.5,0.5,4.504071,2.9847624,0,0
17.5,0.5,4.498277,3.0193236,0,0
18.5,0.5,4.493031,3.0505278,0,0
19.5,0.5,4.48833,3.0784333,0,0
20.5,0.5,4.484156,3.1031427,0,0
21.5,0.5,4.4804893,3.1248012,0,0
22.5,0.5,4.477302,3.1435866,0,0
23.5,0.5,4.47456,3.1597035,0,0
24.5,0.5,4.4722276,3.173379,0,0
25.5,0.5,4.470264,3.1848545,0,0
26.5,0.5,4.4686303,3.194371,0,0
27.5,0.5,4.4672875,3.2021635,0,0
28.5,0.5,4.4661956,3.2084641,0,0
29.5,0.5,4.4653196,3.2134914,0,0
30.5,0.5,4.4646244,3.2174487,0,0
31.5,0.5,4.4640794,3.2205155,0,0
32.5,0.5,4.4636583,3.2228515,0,0
33.5,0.5,4.4633374,3.224597,0,0
34.5,0.5,4.4630966,3.2258704,0,0
35.5,0.5,4.4629183,3.2267745,0,0
36.5,0.5,4.4627905,3.2273948,0,0
37.5,0.5,4.4626994,3.2277966,0,0
38.5,0.5,4.4626374,3.2280328,0,0
39.5,0.5,4.4625964,3.2281477,0,0
40.5,0.5,4.4625707,3.2281718,0,0
41.5,0.5,4.4625583,3.2281358,0,0
42.5,0.5,4.462553,3.228055,0,0
43.5,0.5,4.4625535,3.2279432,0,0
44.5,0.5,4.462558,3.2278113,0,0
45.5,0.5,4.462566,3.227667,0,0
46.5,0.5,4.462576,3.2275198,0,0
47.5,0.5,4.4625883,3.2273715,0,0
48.5,0.5,4.4626017,3.2272222,0,0
49.5,0.5,4.462615,3.2270718,0,0
50.5,0.5,4.4626303,3.226927,0,0
51.5,0.5,4.462645,3.226784,0,0
52.5,0.5,4.462661,3.2266445,0,0
53.5,0.5,4.4626775,3.22651,0,0
54.5,0.5,4.4626946,3.226381,0,0
55.5,0.5,4.462713,3.2262568,0,0
56.5,0.5,4.4627314,3.2261372,0,0
57.5,0.5,4.462751,3.2260249,0,0
58.5,0.5,4.462772,3.225921,0,0
59.5,0.5,4.4627934,3.2258275,0,0
60.5,0.5,4.4628167,3.2257423,0,0
61.5,0.5,4.4628406,3.2256656,0,0
62.5,0.5,4.462866,3.2255979,0,0
63.5,0.5,4.4628925,3.2255397,0,0
64.5,0.5,4.4629207,3.2254915,0,0
65.5,0.5,4.4629507,3.2254539,0,0
66.5,0.5,4.462982,3.2254314,0,0
67.5,0.5,4.4630146,3.225423,0,0
68.5,0.5,4.4630485,3.22543,0,0
69.5,0.5,4.463084,3.2254527,0,0
70.5,0.5,4.4631224,3.2254918,0,0
71.5,0.5,4.4631634,3.225548,0,0
72.5,0.5,4.463207,3.2256248,0,0
73.5,0.5,4.463254,3.2257228,0,0
74.5,0.5,4.4633045,3.225837,0,0
75.5,0.5,4.4633594,3.2259629,0,0
76.5,0.5,4.463423,3.2260873,0,0
77.5,0.5,4.4634986,3.2261767,0,0
78.5,0.5,4.4635987,3.2261677,0,0
79.5,0.5,4.4637437,3.2259202,0,0
80.5,0.5,4.4639792,3.2251623,0,0
81.5,0.5,4.464391,3.2233667,0,0
82.5,0.5,4.4651484,3.2195156,0,0
83.5,0.5,4.46657,3.2117145,0,0
84.5,0.5,4.4692316,3.1965086,0,0
85.5,0.5,4.474145,3.1678042,0,0
86.5,0.5,4.483001,3.1153204,0,0
87.5,0.5,4.498446,3.0226643,0,0
88.5,0.5,4.524248,2.8657174,0,0
89.5,0.5,4.565036,2.6132755,0,0
90.5,0.5,4.6250463,2.2338953,0,0
91.5,0.5,4.7052917,1.7146797,0,0
92.5,0.5,4.7990727,1.094606,0,0
93.5,0.5,4.888015,0.4963042,0,0
94.5,0.5,4.9469714,0.09573315,0,0
95.5,0.5,4.966465,-0.033574127,0,0
96.5,0.5,4.9663687,-0.025733404,0,0
97.5,0.5,4.966472,-0.018539323,0,0
98.5,0.5,4.966567,-0.010484792,0,0
99.5,0.5,-1.4795952,40.972954,0,0
0.5,1.5,4.637869,2.1649365,0,0
1.5,1.5,4.627402,2.2305193,0,0
2.5,1.5,4.616936,2.2958512,0,0
3.5,1.5,4.606485,2.360852,0,0
4.5,1.5,4.5960693,2.4253926,0,0
5.5,1.5,4.585717,2.489303,0,0
6.5,1.5,4.5754623,2.5523753,0,0
7.5,1.5,4.565346,2.6143644,0,0
8.5,1.5,4.5554132,2.6750038,0,0
9.5,1.5,4.545713,2.7340088,0,0
10.5,1.5,4.536297,2.7910898,0,0
11.5,1.5,4.5272145,2.845959,0,0
12.5,1.5,4.5185137,2.8983366,0,0
13.5,1.5,4.5102406,2.947979,0,0
14.5,1.5,4.502436,2.994669,0,0
15.5,1.5,4.4951324,3.038228,0,0
16.5,1.5,4.4883556,3.078524,0,0
17.5,1.5,4.482125,3.1154754,0,0
18.5,1.5,4.4764466,3.149055,0,0
19.5,1.5,4.4713225,3.1792827,0,0
20.5,1.5,4.4667435,3.2062318,0,0
21.5,1.5,4.462692,3.2300165,0,0
22.5,1.5,4.459145,3.2507908,0,0
23.5,1.5,4.456072,3.2687423,0,0
24.5,1.5,4.453439,3.2840872,0,0
25.5,1.5,4.4512067,3.2970595,0,0
26.5,1.5,4.4493356,3.3078995,0,0
27.5,1.5,4.447786,3.3168447,0,0
28.5,1.5,4.4465175,3.3241348,0,0
29.5,1.5,4.445491,3.3300033,0,0
30.5,1.5,4.44467,3.3346632,0,0
31.5,1.5,4.4440227,3.3383083,0,0
32.5,1.5,4.443518,3.3411157,0,0
33.5,1.5,4.44313,3.3432386,0,0
