x,y,height,momentum_x,momentum_y,bathymetry
0.5,0.5,5.9134836,-7.5245156,0,0
1.5,0.5,5.8788404,-7.2178073,0,0
2.5,0.5,5.8413386,-6.8884606,0,0
3.5,0.5,5.8012133,-6.539166,0,0
4.5,0.5,5.758711,-6.1726336,0,0
5.5,0.5,5.7141037,-5.7916164,0,0
6.5,0.5,5.6676946,-5.398944,0,0
7.5,0.5,5.619825,-4.9975696,0,0
8.5,0.5,5.570862,-4.590671,0,0
9.5,0.5,5.521191,-4.1817775,0,0
10.5,0.5,5.471211,-3.7748134,0,0
11.5,0.5,5.4213347,-3.3740504,0,0
12.5,0.5,5.3720117,-2.9839323,0,0
13.5,0.5,5.323739,-2.6088715,0,0
14.5,0.5,5.2770724,-2.2530265,0,0
15.5,0.5,5.2326007,-1.920167,0,0
16.5,0.5,5.1909256,-1.6135545,0,0
17.5,0.5,5.152612,-1.3358467,0,0
18.5,0.5,5.1181483,-1.0889866,0,0
19.5,0.5,5.087903,-0.8740481,0,0
20.5,0.5,5.062092,-0.69112295,0,0
21.5,0.5,5.040759,-0.53923374,0,0
22.5,0.5,5.023768,-0.41636127,0,0
23.5,0.5,5.010816,-0.31957063,0,0
24.5,0.5,5.0014615,-0.24524862,0,0
25.5,0.5,4.9951696,-0.18943018,0,0
26.5,0.5,4.991362,-0.148144,0,0
27.5,0.5,4.9894667,-0.11772305,0,0
28.5,0.5,4.9889565,-0.09505451,0,0
29.5,0.5,4.989381,-0.07769216,0,0
30.5,0.5,4.9903727,-0.063873775,0,0
31.5,0.5,4.9916525,-0.052437034,0,0
32.5,0.5,4.9930215,-0.042691026,0,0
33.5,0.5,4.994348,-0.034281183,0,0
34.5,0.5,4.99555,-0.02704048,0,0
35.5,0.5,4.996587,-0.020895835,0,0
36.5,0.5,4.9974465,-0.015791899,0,0
37.5,0.5,4.998135,-0.011662285,0,0
38.5,0.5,4.9986696,-0.008414552,0,0
39.5,0.5,4.999072,-0.005929534,0,0
40.5,0.5,4.999367,-0.0040837126,0,0
41.5,0.5,4.9995775,-0.0027499495,0,0
42.5,0.5,4.9997234,-0.0018131929,0,0
43.5,0.5,4.999823,-0.0011718273,0,0
44.5,0.5,4.9998894,-0.00074033864,0,0
45.5,0.5,4.9999323,-0.00045706716,0,0
46.5,0.5,4.9999595,-0.00027418742,0,0
47.5,0.5,4.9999766,-0.0001590751,0,0
48.5,0.5,4.999986,-8.920223E-05,0,0
49.5,0.5,4.999991,-4.7958976E-05,0,0
50.5,0.5,4.999993,-1.3810444E-05,0,0
51.5,0.5,4.9999914,2.2507536E-05,0,0
52.5,0.5,4.999986,7.357649E-05,0,0
53.5,0.5,4.9999747,0.0001642581,0,0
54.5,0.5,4.999952,0.0003297435,0,0
55.5,0.5,4.99991,0.00062804087,0,0
56.5,0.5,4.9998364,0.0011462077,0,0
57.5,0.5,4.9997125,0.0020172377,0,0
58.5,0.5,4.99951,0.0034360127,0,0
59.5,0.5,4.999189,0.005674683,0,0
60.5,0.5,4.9986973,0.009117857,0,0
61.5,0.5,4.997961,0.014274862,0,0
62.5,0.5,4.9968834,0.021813935,0,0
63.5,0.5,4.9953356,0.032628886,0,0
64.5,0.5,4.9931498,0.047897138,0,0
65.5,0.5,4.990099,0.06917625,0,0
66.5,0.5,4.985883,0.098541655,0,0
67.5,0.5,4.980099,0.13874096,0,0
68.5,0.5,4.972219,0.1933589,0,0
69.5,0.5,4.9615574,0.2669733,0,0
70.5,0.5,4.9472523,0.36524558,0,0
71.5,0.5,4.928259,0.49488285,0,0
72.5,0.5,4.9033575,0.66340685,0,0
73.5,0.5,4.8712096,0.87867,0,0
74.5,0.5,4.83044,1.1480434,0,0
75.5,0.5,4.779782,1.4772991,0,0
76.5,0.5,4.718264,1.8692464,0,0
77.5,0.5,4.645463,2.322245,0,0
78.5,0.5,4.561787,2.8288128,0,0
79.5,0.5,4.4687924,3.3745832,0,0
80.5,0.5,4.3695016,3.937848,0,0
81.5,0.5,4.268689,4.4898334,0,0
82.5,0.5,4.1730514,4.9956927,0,0
83.5,0.5,4.0911427,5.416144,0,0
84.5,0.5,4.0327864,5.709812,0,0
85.5,0.5,4.007681,5.836592,0,0
86.5,0.5,4.023111,5.762802,0,0
87.5,0.5,4.081434,5.4685116,0,0
88.5,0.5,4.178646,4.955863,0,0
89.5,0.5,4.304903,4.255461,0,0
90.5,0.5,4.4465823,3.427415,0,0
91.5,0.5,4.588813,2.555065,0,0
92.5,0.5,4.7177835,1.7313495,0,0
93.5,0.5,4.822831,1.0395639,0,0
94.5,0.5,4.898343,0.53249407,0,0
95.5,0.5,4.944905,0.21797213,0,0
96.5,0.5,4.9685884,0.060770266,0,0
97.5,0.5,4.978045,0.0033663022,0,0
98.5,0.5,4.980783,-0.006045861,0,0
99.5,0.5,-1.4799136,41.110004,0,0
0.5,1.5,5.878467,-7.214553,0,0
1.5,1.5,5.8470078,-6.9380574,0,0
2.5,1.5,5.81264,-6.638239,0,0
3.5,1.5,5.7755938,-6.317701,0,0
4.5,1.5,5.736107,-5.9790277,0,0
5.5,1.5,5.694439,-5.6248307,0,0
6.5,1.5,5.6508775,-5.257775,0,0
7.5,1.5,5.605743,-4.8806357,0,0
8.5,1.5,5.5593815,-4.496415,0,0
9.5,1.5,5.512155,-4.1084447,0,0
10.5,1.5,5.4644346,-3.720463,0,0
11.5,1.5,5.4166064,-3.3365688,0,0
12.5,1.5,5.369093,-2.9610512,0,0
13.5,1.5,5.3223677,-2.59821,0,0
