x,y,height,momentum_x,bathymetry
2202.5,2202.5,20,-7.644873E-06,-20
6607.5,2202.5,20,-7.644873E-06,-20
11012.5,2202.5,23.969769,-5.651417E-06,-23.969769
15417.5,2202.5,45.619434,4.4311787E-06,-45.619434
19822.5,2202.5,73.22857,2.5853455E-05,-73.22857
24227.5,2202.5,104.20978,7.889694E-05,-104.20978
28632.5,2202.5,124.16461,5.572978E-05,-124.16461
33037.5,2202.5,131.71107,8.191658E-06,-131.71107
37442.5,2202.5,141.12314,-0.000106304804,-141.12314
41847.5,2202.5,145.93387,-0.00017193973,-145.93387
46252.5,2202.5,161.87885,-0.00017387028,-161.87885
50657.5,2202.5,187.65663,-0.00010627504,-187.65663
55062.5,2202.5,215.42738,0.00033120965,-215.42738
59467.5,2202.5,253.1698,0.0003914802,-253.1698
63872.5,2202.5,299.87262,0.000527528,-299.87262
68277.5,2202.5,350.9949,0.0007900575,-350.9949
72682.5,2202.5,420.46564,0.0003070756,-420.46564
77087.5,2202.5,483.02777,0.0006401017,-483.02777
81492.5,2202.5,537.9643,0.0012879664,-537.9643
85897.5,2202.5,602.70795,0.0013853222,-602.70795
90302.5,2202.5,695.6091,0.0002055516,-695.6091
94707.5,2202.5,744.39355,0.002034772,-744.39355
99112.5,2202.5,837.5583,0.018292582,-837.5585
103517.5,2202.5,920.46967,0.09017458,-920.47064
107922.5,2202.5,974.7281,0.3772861,-974.73193
112327.5,2202.5,1008.4805,1.3694434,-1008.4943
116732.5,2202.5,1006.313,4.3952513,-1006.3572
121137.5,2202.5,1002.67957,12.489339,-1002.80707
125542.5,2202.5,919.8755,31.733238,-920.20856
129947.5,2202.5,882.23376,73.65535,-882.99664
134352.5,2202.5,1088.26,147.23445,-1089.7084
138757.5,2202.5,1213.6014,242.72081,-1215.8744
143162.5,2202.5,1322.0554,328.95026,-1325.0118
147567.5,2202.5,1544.3657,352.1829,-1547.4324
151972.5,2202.5,1930.7675,266.38116,-1933.143
156377.5,2202.5,2307.8904,75.86417,-2308.9614
160782.5,2202.5,2663.7969,-170.9946,-2663.3494
165187.5,2202.5,3085.844,-407.18863,-3084.0884
169592.5,2202.5,3572.7993,-573.6851,-3570.2234
173997.5,2202.5,3892.0215,-644.42914,-3889.1611
178402.5,2202.5,4235.692,-623.9662,-4232.999
182807.5,2202.5,4392.3843,-538.4751,-4390.1567
187212.5,2202.5,4419.5474,-421.60315,-4417.9194
