x,y,height,momentum_x,momentum_y,bathymetry
0.5,0.5,3.5801492,7.526201,0,0
1.5,0.5,3.5741227,7.549195,0,0
2.5,0.5,3.568511,7.5705256,0,0
3.5,0.5,3.563313,7.5902133,0,0
4.5,0.5,3.5585244,7.6082883,0,0
5.5,0.5,3.5541394,7.62479,0,0
6.5,0.5,3.5501478,7.639767,0,0
7.5,0.5,3.5465374,7.6532803,0,0
8.5,0.5,3.5432925,7.6653914,0,0
9.5,0.5,3.5403972,7.6761727,0,0
10.5,0.5,3.5378325,7.6857033,0,0
11.5,0.5,3.5355768,7.6940675,0,0
12.5,0.5,3.5336084,7.7013526,0,0
13.5,0.5,3.5319052,7.707645,0,0
14.5,0.5,3.5304434,7.7130356,0,0
15.5,0.5,3.5291996,7.7176123,0,0
16.5,0.5,3.528151,7.721461,0,0
17.5,0.5,3.5272753,7.7246675,0,0
18.5,0.5,3.5265508,7.7273107,0,0
19.5,0.5,3.525958,7.7294664,0,0
20.5,0.5,3.5254781,7.731204,0,0
21.5,0.5,3.5250945,7.7325864,0,0
22.5,0.5,3.524791,7.7336717,0,0
23.5,0.5,3.5245545,7.73451,0,0
24.5,0.5,3.5243719,7.7351456,0,0
25.5,0.5,3.5242336,7.7356195,0,0
26.5,0.5,3.5241315,7.735963,0,0
27.5,0.5,3.5240564,7.7362022,0,0
28.5,0.5,3.5240028,7.736361,0,0
29.5,0.5,3.5239651,7.7364583,0,0
30.5,0.5,3.52394,7.7365093,0,0
31.5,0.5,3.5239246,7.736527,0,0
32.5,0.5,3.5239153,7.736521,0,0
33.5,0.5,3.5239105,7.7364974,0,0
34.5,0.5,3.5239089,7.7364616,0,0
35.5,0.5,3.5239093,7.7364187,0,0
36.5,0.5,3.5239105,7.736372,0,0
37.5,0.5,3.5239127,7.7363224,0,0
38.5,0.5,3.5239143,7.736272,0,0
39.5,0.5,3.5239162,7.7362204,0,0
40.5,0.5,3.5239177,7.7361693,0,0
41.5,0.5,3.5239182,7.73612,0,0
42.5,0.5,3.523919,7.7360706,0,0
43.5,0.5,3.5239189,7.736024,0,0
44.5,0.5,3.523918,7.7359796,0,0
45.5,0.5,3.5239172,7.735935,0,0
46.5,0.5,3.5239155,7.7358937,0,0
47.5,0.5,3.5239131,7.7358546,0,0
48.5,0.5,3.523911,7.7358146,0,0
49.5,0.5,3.5239084,7.735778,0,0
50.5,0.5,3.5239048,7.7357426,0,0
51.5,0.5,3.523901,7.7357063,0,0
52.5,0.5,3.5238972,7.7356706,0,0
53.5,0.5,3.5238934,7.7356353,0,0
54.5,0.5,3.5238895,7.7355995,0,0
55.5,0.5,3.5238855,7.735565,0,0
56.5,0.5,3.5238817,7.735531,0,0
57.5,0.5,3.5238779,7.7354975,0,0
58.5,0.5,3.5238736,7.7354646,0,0
59.5,0.5,3.52387,7.73543,0,0
60.5,0.5,3.523866,7.735395,0,0
61.5,0.5,3.523862,7.735362,0,0
62.5,0.5,3.523858,7.7353287,0,0
63.5,0.5,3.5238543,7.7352943,0,0
64.5,0.5,3.52385,7.7352614,0,0
65.5,0.5,3.523846,7.735226,0,0
66.5,0.5,3.5238414,7.7351923,0,0
67.5,0.5,3.5238373,7.735157,0,0
68.5,0.5,3.523833,7.7351213,0,0
69.5,0.5,3.5238295,7.735084,0,0
70.5,0.5,3.523827,7.7350426,0,0
71.5,0.5,3.5238261,7.734995,0,0
72.5,0.5,3.5238292,7.734934,0,0
73.5,0.5,3.5238397,7.734844,0,0
74.5,0.5,3.5238652,7.734701,0,0
75.5,0.5,3.5239189,7.734452,0,0
76.5,0.5,3.5240273,7.7339993,0,0
77.5,0.5,3.5242412,7.7331595,0,0
78.5,0.5,3.5246522,7.7315865,0,0
79.5,0.5,3.5254304,7.72865,0,0
80.5,0.5,3.5268831,7.723205,0,0
81.5,0.5,3.5295575,7.713199,0,0
82.5,0.5,3.5344026,7.6950407,0,0
83.5,0.5,3.5430195,7.6625514,0,0
84.5,0.5,3.5580096,7.605384,0,0
85.5,0.5,3.5833783,7.5067368,0,0
86.5,0.5,3.6248615,7.3404207,0,0
87.5,0.5,3.6898494,7.067873,0,0
88.5,0.5,3.7864723,6.637001,0,0
89.5,0.5,3.9215443,5.986876,0,0
90.5,0.5,4.0974483,5.0648766,0,0
91.5,0.5,4.3081694,3.8639545,0,0
92.5,0.5,4.534108,2.4815345,0,0
