x,y,height,momentum_x,momentum_y,bathymetry
0.5,0.5,4.1237936,5.0939403,0,0
1.5,0.5,4.11537,5.1370225,0,0
2.5,0.5,4.107288,5.178202,0,0
3.5,0.5,4.099561,5.217423,0,0
4.5,0.5,4.0922065,5.2546325,0,0
5.5,0.5,4.085235,5.289782,0,0
6.5,0.5,4.0786595,5.3228283,0,0
7.5,0.5,4.07249,5.3537407,0,0
8.5,0.5,4.0667357,5.382498,0,0
9.5,0.5,4.0613985,5.4090943,0,0
10.5,0.5,4.056481,5.433542,0,0
11.5,0.5,4.05198,5.455861,0,0
12.5,0.5,4.047891,5.4760942,0,0
13.5,0.5,4.0442033,5.494304,0,0
14.5,0.5,4.040905,5.510562,0,0
15.5,0.5,4.037977,5.524962,0,0
16.5,0.5,4.0353994,5.537616,0,0
17.5,0.5,4.033151,5.5486407,0,0
18.5,0.5,4.031206,5.5581555,0,0
19.5,0.5,4.029541,5.5662904,0,0
20.5,0.5,4.0281286,5.573181,0,0
21.5,0.5,4.0269423,5.578954,0,0
22.5,0.5,4.025956,5.5837398,0,0
23.5,0.5,4.0251455,5.5876646,0,0
24.5,0.5,4.024486,5.590845,0,0
25.5,0.5,4.023957,5.5933914,0,0
26.5,0.5,4.023537,5.5953975,0,0
27.5,0.5,4.0232086,5.596954,0,0
28.5,0.5,4.0229554,5.598136,0,0
29.5,0.5,4.022764,5.5990143,0,0
30.5,0.5,4.022622,5.5996523,0,0
31.5,0.5,4.022519,5.6001,0,0
32.5,0.5,4.022447,5.600396,0,0
33.5,0.5,4.022398,5.600575,0,0
34.5,0.5,4.022367,5.6006675,0,0
35.5,0.5,4.022349,5.600693,0,0
36.5,0.5,4.02234,5.6006665,0,0
37.5,0.5,4.0223384,5.600605,0,0
38.5,0.5,4.022341,5.600518,0,0
39.5,0.5,4.022347,5.6004148,0,0
40.5,0.5,4.022355,5.6002984,0,0
41.5,0.5,4.022364,5.6001763,0,0
42.5,0.5,4.022373,5.600045,0,0
43.5,0.5,4.0223823,5.5999103,0,0
44.5,0.5,4.022392,5.599773,0,0
45.5,0.5,4.0224013,5.5996346,0,0
46.5,0.5,4.0224094,5.599491,0,0
47.5,0.5,4.0224185,5.5993423,0,0
48.5,0.5,4.022427,5.5991945,0,0
49.5,0.5,4.022434,5.599046,0,0
50.5,0.5,4.02244,5.5988946,0,0
51.5,0.5,4.022446,5.59874,0,0
52.5,0.5,4.0224514,5.598588,0,0
53.5,0.5,4.022457,5.5984364,0,0
54.5,0.5,4.022463,5.598285,0,0
55.5,0.5,4.0224667,5.5981402,0,0
56.5,0.5,4.0224705,5.5979967,0,0
57.5,0.5,4.022474,5.5978546,0,0
58.5,0.5,4.0224767,5.5977154,0,0
59.5,0.5,4.022478,5.597582,0,0
60.5,0.5,4.0224795,5.5974503,0,0
61.5,0.5,4.0224795,5.5973215,0,0
62.5,0.5,4.022479,5.5971975,0,0
63.5,0.5,4.0224767,5.597076,0,0
64.5,0.5,4.0224733,5.5969586,0,0
65.5,0.5,4.02247,5.5968456,0,0
66.5,0.5,4.0224648,5.5967374,0,0
67.5,0.5,4.0224595,5.5966325,0,0
