x,y,height,momentum_x,momentum_y,bathymetry
0.5,0.5,4.966494,-0.0122152055,0,0
1.5,0.5,4.9661584,-0.009865167,0,0
2.5,0.5,4.965774,-0.007179949,0,0
3.5,0.5,4.965324,-0.0040385476,0,0
4.5,0.5,4.964788,-0.00029720506,0,0
5.5,0.5,4.9641447,0.0041912496,0,0
6.5,0.5,4.963372,0.009582534,0,0
7.5,0.5,4.962447,0.016026665,0,0
8.5,0.5,4.9613523,0.023664756,0,0
9.5,0.5,4.9600673,0.03261482,0,0
10.5,0.5,4.95858,0.042970013,0,0
11.5,0.5,4.9568825,0.054782048,0,0
12.5,0.5,4.9549737,0.068063945,0,0
13.5,0.5,4.9528584,0.08276632,0,0
14.5,0.5,4.950552,0.098791465,0,0
15.5,0.5,4.9480743,0.11599108,0,0
16.5,0.5,4.945454,0.13416524,0,0
17.5,0.5,4.9427257,0.15307768,0,0
18.5,0.5,4.939928,0.17245641,0,0
19.5,0.5,4.937101,0.192016,0,0
20.5,0.5,4.934288,0.21146438,0,0
21.5,0.5,4.931528,0.2305192,0,0
22.5,0.5,4.9288626,0.24891672,0,0
23.5,0.5,4.926324,0.26642185,0,0
24.5,0.5,4.923941,0.28283715,0,0
25.5,0.5,4.921738,0.2980089,0,0
26.5,0.5,4.919729,0.3118279,0,0
27.5,0.5,4.917924,0.32423988,0,0
28.5,0.5,4.9163256,0.33522984,0,0
29.5,0.5,4.91493,0.34481803,0,0
30.5,0.5,4.91373,0.35306495,0,0
31.5,0.5,4.912713,0.36005902,0,0
32.5,0.5,4.911865,0.36590862,0,0
33.5,0.5,4.9111676,0.37073368,0,0
34.5,0.5,4.9106026,0.37466127,0,0
35.5,0.5,4.910154,0.37781364,0,0
36.5,0.5,4.909803,0.38031116,0,0
37.5,0.5,4.9095335,0.38226715,0,0
38.5,0.5,4.9093313,0.3837813,0,0
39.5,0.5,4.9091845,0.3849432,0,0
40.5,0.5,4.909081,0.38582996,0,0
41.5,0.5,4.909012,0.38650128,0,0
42.5,0.5,4.908969,0.38700688,0,0
43.5,0.5,4.9089475,0.38739413,0,0
44.5,0.5,4.908942,0.38769633,0,0
45.5,0.5,4.908949,0.38794097,0,0
46.5,0.5,4.9089656,0.38815248,0,0
47.5,0.5,4.90899,0.3883419,0,0
48.5,0.5,4.909022,0.38852587,0,0
49.5,0.5,4.909061,0.38872415,0,0
50.5,0.5,4.9091063,0.38894346,0,0
51.5,0.5,4.9091573,0.38918662,0,0
52.5,0.5,4.909215,0.389466,0,0
53.5,0.5,4.9092793,0.38978115,0,0
54.5,0.5,4.909348,0.39012825,0,0
55.5,0.5,4.90942,0.39049923,0,0
56.5,0.5,4.9094954,0.39088508,0,0
57.5,0.5,4.9095707,0.39127305,0,0
58.5,0.5,4.909642,0.39164254,0,0
59.5,0.5,4.909709,0.3919733,0,0
60.5,0.5,4.909767,0.39224887,0,0
61.5,0.5,4.9098167,0.39246058,0,0
62.5,0.5,4.9098563,0.39260992,0,0
63.5,0.5,4.9098873,0.39270175,0,0
64.5,0.5,4.9099145,0.39276358,0,0
65.5,0.5,4.909942,0.39284202,0,0
66.5,0.5,4.90998,0.392989,0,0
67.5,0.5,4.910036,0.39327615,0,0
68.5,0.5,4.910124,0.3937863,0,0
69.5,0.5,4.910254,0.3946061,0,0
70.5,0.5,4.910441,0.39582184,0,0
71.5,0.5,4.910695,0.39751422,0,0
72.5,0.5,4.911025,0.39974886,0,0
73.5,0.5,4.9114385,0.40257633,0,0
74.5,0.5,4.9119387,0.40601793,0,0
75.5,0.5,4.9125247,0.4100708,0,0
76.5,0.5,4.913194,0.41471463,0,0
77.5,0.5,4.91394,0.4198991,0,0
78.5,0.5,4.91475,0.4255413,0,0
79.5,0.5,4.9156113,0.4315427,0,0
80.5,0.5,4.916511,0.43778485,0,0
81.5,0.5,4.917436,0.4441336,0,0
82.5,0.5,4.9183764,0.4504077,0,0
83.5,0.5,4.9193344,0.456364,0,0
84.5,0.5,4.9203362,0.46161854,0,0
85.5,0.5,4.9214535,0.46549174,0,0
86.5,0.5,4.9228435,0.4667566,0,0
87.5,0.5,4.924808,0.46321598,0,0
88.5,0.5,4.927872,0.45117345,0,0
89.5,0.5,4.932835,0.4250593,0,0
90.5,0.5,4.9406934,0.37793314,0,0
91.5,0.5,4.9522243,0.3043161,0,0
92.5,0.5,4.967029,0.20686018,0,0
93.5,0.5,4.9823155,0.104869545,0,0
94.5,0.5,4.9932942,0.031747166,0,0
95.5,0.5,4.9974294,0.0054275338,0,0
96.5,0.5,4.9977937,0.004573442,0,0
97.5,0.5,4.99799,0.003995661,0,0
98.5,0.5,4.998116,0.0029834358,0,0
99.5,0.5,-1.4703287,41.314396,0,0
0.5,1.5,4.9661164,-0.009578821,0,0
1.5,1.5,4.965643,-0.006269382,0,0
2.5,1.5,4.9651074,-0.0025299573,0,0
3.5,1.5,4.9644904,0.0017766582,0,0
4.5,1.5,4.9637694,0.0068077156,0,0
5.5,1.5,4.962921,0.012725217,0,0
6.5,1.5,4.961921,0.019699957,0,0
7.5,1.5,4.9607444,0.02789791,0,0
8.5,1.5,4.9593706,0.03747324,0,0
9.5,1.5,4.957779,0.048556373,0,0
10.5,1.5,4.955954,0.06124859,0,0
11.5,1.5,4.9538894,0.075606406,0,0
12.5,1.5,4.951583,0.09163776,0,0
13.5,1.5,4.949042,0.1092847,0,0
14.5,1.5,4.9462814,0.12843598,0,0
15.5,1.5,4.943327,0.14892033,0,0
16.5,1.5,4.94021,0.17051347,0,0
17.5,1.5,4.9369683,0.19294351,0,0
18.5,1.5,4.9336476,0.2159011,0,0
19.5,1.5,4.9302926,0.23906323,0,0
20.5,1.5,4.9269543,0.2620985,0,0
21.5,1.5,4.9236765,0.28468105,0,0
22.5,1.5,4.920506,0.30650982,0,0
23.5,1.5,4.9174814,0.32731017,0,0
24.5,1.5,4.9146376,0.34685144,0,0
25.5,1.5,4.9120007,0.3649541,0,0
26.5,1.5,4.9095902,0.38148758,0,0
27.5,1.5,4.907418,0.39638183,0,0
